Interface eth0 has index 2
Interface eth2 has index 4
Initialized 6.tr queue with 78539 services.
Initialized 7.tr queue with 88357 services.
downlink 0.150000 delivery 107 60
downlink 0.330000 delivery 25 60
downlink 0.410000 delivery 59 92
downlink 0.440000 delivery 35 60
downlink 0.530000 delivery 48 60
downlink 0.530000 delivery 22 92
downlink 0.620000 delivery 47 60
downlink 0.620000 delivery 43 92
downlink 0.710000 delivery 41 152
uplink 0 0 / 4326 = 0.0 % 2011 
downlink 0 728 / 99498 = 0.7 % 888 
downlink 0.990000 delivery 134 160
uplink 1.082000 delivery 1043 247
uplink 1.082000 delivery 971 60
uplink 1.082000 delivery 911 87
uplink 1.082000 delivery 643 90
uplink 1.082000 delivery 643 70
uplink 1.082000 delivery 635 90
uplink 1.082000 delivery 542 107
uplink 1.082000 delivery 471 231
uplink 1.082000 delivery 411 110
uplink 1.082000 delivery 377 341
downlink 1.110000 delivery 28 70
uplink 1.118000 limbodelivery 413 202
uplink 1.118000 delivery 413 101
uplink 1.118000 delivery 356 185
uplink 1.118000 delivery 207 90
uplink 1.118000 delivery 162 341
uplink 1.118000 delivery 162 202
downlink 1.150000 delivery 49 92
downlink 1.350000 delivery 24 92
uplink 1.437000 delivery 230 341
uplink 1.437000 delivery 230 202
uplink 1.437000 delivery 230 117
uplink 1.437000 delivery 181 206
uplink 1.437000 delivery 30 323
uplink 1.437000 delivery 30 190
downlink 1.571000 delivery 37 60
uplink 1.581000 delivery 41 107
downlink 1.860000 delivery 20 60
downlink 1.880000 delivery 24 160
uplink 1 4040 / 15862 = 25.5 % 2029 
downlink 1 694 / 119686 = 0.6 % 534 
downlink 2.100000 delivery 24 92
uplink 2.145000 delivery 166 263
downlink 2.331000 delivery 24 60
uplink 2.445000 delivery 274 87
uplink 2.698000 delivery 74 323
uplink 2.698000 delivery 74 190
downlink 2.721000 delivery 184 60
downlink 2.721000 delivery 107 92
downlink 2.721000 delivery 52 152
uplink 2 863 / 10094 = 8.5 % 1436 
downlink 2.930000 delivery 109 60
downlink 2.930000 delivery 109 60
downlink 2.930000 delivery 74 160
downlink 2 736 / 64890 = 1.1 % 736 
uplink 2.953000 delivery 254 342
uplink 2.953000 delivery 126 231
downlink 3.030000 delivery 92 60
downlink 3.030000 delivery 73 342
downlink 3.030000 delivery 73 342
downlink 3.030000 delivery 64 271
downlink 3.030000 delivery 64 271
downlink 3.360000 delivery 145 60
downlink 3.390000 delivery 26 92
uplink 3.444000 delivery 398 60
uplink 3.444000 delivery 303 87
uplink 3.444000 delivery 136 381
uplink 3.444000 delivery 80 165
downlink 3.641000 delivery 21 197
downlink 3.641000 delivery 21 197
uplink 3.643000 delivery 103 107
uplink 3.643000 delivery 85 381
uplink 3.643000 delivery 37 60
downlink 3.890000 delivery 34 160
uplink 3.906000 delivery 98 381
uplink 3 2195 / 17304 = 12.7 % 1622 
downlink 3 1992 / 76426 = 2.6 % 1992 
uplink 4.051000 delivery 43 357
downlink 4.150000 delivery 36 92
downlink 4.231000 delivery 40 60
downlink 4.460000 delivery 151 60
downlink 4.460000 delivery 29 186
downlink 4.460000 delivery 29 186
uplink 4.469000 delivery 327 87
uplink 4.469000 delivery 317 60
uplink 4.469000 delivery 273 263
uplink 4.469000 delivery 247 60
uplink 4.469000 delivery 27 70
downlink 4.530000 delivery 59 60
downlink 4.560000 delivery 35 60
uplink 4.659000 delivery 128 65
uplink 4.659000 delivery 128 65
uplink 4.659000 delivery 98 66
downlink 4.680000 delivery 20 140
downlink 4.680000 delivery 20 140
uplink 4.686000 limbodelivery 125 1442
uplink 4.686000 delivery 125 673
uplink 4.686000 delivery 125 66
downlink 4.710000 delivery 40 134
uplink 4.731000 limbodelivery 170 608
uplink 4.731000 delivery 170 66
uplink 4.731000 delivery 170 867
uplink 4.731000 delivery 170 66
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.811000 delivery 108 82
downlink 4.851000 limbodelivery 128 82
downlink 4.851000 delivery 128 82
downlink 4.851000 delivery 128 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 delivery 127 82
downlink 4.851000 limbodelivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 delivery 123 82
downlink 4.851000 limbodelivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
downlink 4.851000 delivery 105 82
