Interface eth0 has index 2
Interface eth2 has index 4
Initialized 6.tr queue with 78539 services.
Initialized 7.tr queue with 88357 services.
downlink 0 0 / 5768 = 0.0 % 0 
uplink 0 0 / 4326 = 0.0 % 0 
downlink 0.150000 delivery 55 152
downlink 0.300000 delivery 31 60
downlink 0.440000 delivery 23 160
downlink 0.850000 delivery 25 243
downlink 0.990000 delivery 66 60
uplink 1 0 / 0 = -nan % 793 
downlink 1 675 / 99498 = 0.7 % 675 
downlink 1.080000 delivery 50 60
downlink 1.080000 delivery 42 60
uplink 1.082000 delivery 1050 78
uplink 1.082000 delivery 1050 247
uplink 1.082000 delivery 973 60
uplink 1.082000 delivery 919 87
uplink 1.082000 delivery 519 231
uplink 1.082000 delivery 70 90
uplink 1.082000 delivery 70 70
uplink 1.082000 delivery 63 90
downlink 1.110000 delivery 27 70
uplink 1.145000 delivery 33 107
downlink 1.290000 delivery 20 92
downlink 1.350000 delivery 34 60
downlink 1.411000 delivery 36 60
uplink 1.436000 delivery 219 247
uplink 1.436000 delivery 174 341
uplink 1.436000 delivery 174 202
uplink 1.436000 delivery 123 185
downlink 1.440000 delivery 23 160
uplink 1.554000 delivery 87 90
uplink 1.554000 delivery 78 110
uplink 1.554000 delivery 41 341
uplink 1.554000 delivery 41 202
downlink 1.660000 delivery 75 197
downlink 1.660000 delivery 75 197
uplink 1.789000 delivery 26 341
uplink 1.789000 delivery 26 202
uplink 1.789000 delivery 26 117
downlink 1.791000 delivery 48 60
downlink 1.850000 delivery 22 60
uplink 2 3438 / 15862 = 21.7 % 3500 
downlink 2 1076 / 122570 = 0.9 % 1168 
downlink 2.061000 delivery 77 92
downlink 2.061000 delivery 42 92
downlink 2.120000 delivery 25 152
uplink 2.144000 delivery 284 342
uplink 2.144000 delivery 180 323
uplink 2.144000 delivery 180 190
uplink 2.144000 delivery 31 107
downlink 2.180000 delivery 33 342
downlink 2.180000 delivery 32 342
uplink 2.189000 delivery 25 87
downlink 2.330000 delivery 22 60
downlink 2.420000 delivery 86 86
uplink 2.444000 delivery 241 60
uplink 2.444000 delivery 147 87
downlink 2.450000 delivery 33 160
uplink 2.471000 delivery 23 381
uplink 2.698000 delivery 201 165
uplink 2.698000 delivery 186 263
downlink 2.720000 delivery 118 271
downlink 2.720000 delivery 118 271
downlink 2.780000 delivery 46 92
downlink 2.810000 delivery 41 92
uplink 2.954000 delivery 256 381
uplink 2.980000 delivery 32 381
uplink 3 2767 / 15862 = 17.4 % 1912 
downlink 3 2052 / 57680 = 3.6 % 1960 
downlink 3.160000 delivery 69 60
downlink 3.360000 delivery 92 60
downlink 3.360000 delivery 43 60
uplink 3.444000 delivery 345 60
uplink 3.444000 delivery 295 357
uplink 3.444000 delivery 280 323
uplink 3.444000 delivery 143 87
uplink 3.444000 delivery 133 60
downlink 3.460000 delivery 43 160
downlink 3.490000 delivery 44 60
downlink 3.521000 delivery 37 92
uplink 3.643000 delivery 151 65
uplink 3.643000 delivery 151 65
downlink 3.710000 delivery 66 140
downlink 3.710000 delivery 66 140
downlink 3.780000 delivery 27 175
downlink 3.780000 delivery 24 175
downlink 3.780000 delivery 24 175
downlink 3.860000 delivery 60 92
uplink 3.906000 delivery 208 259
uplink 3.906000 delivery 139 74
uplink 3.906000 delivery 139 74
uplink 4 1424 / 11536 = 12.3 % 1424 
downlink 4.010000 delivery 102 280
downlink 4.010000 delivery 102 284
downlink 4 1953 / 76426 = 2.6 % 1953 
downlink 4.120000 delivery 24 134
downlink 4.300000 delivery 21 92
downlink 4.460000 delivery 138 60
downlink 4.460000 delivery 43 160
uplink 4.469000 delivery 357 90
uplink 4.469000 delivery 356 107
uplink 4.469000 delivery 332 60
uplink 4.469000 delivery 197 76
uplink 4.469000 delivery 197 76
uplink 4.469000 delivery 157 90
uplink 4.469000 delivery 120 357
downlink 4.490000 delivery 20 286
downlink 4.490000 delivery 20 137
downlink 4.590000 delivery 45 90
downlink 4.590000 delivery 44 90
downlink 4.590000 delivery 41 92
downlink 4.680000 delivery 48 60
downlink 4.710000 delivery 25 60
downlink 4.850000 delivery 53 60
uplink 4.858000 delivery 144 263
uplink 4.885000 delivery 34 66
uplink 4.885000 limbodelivery 34 1442
uplink 4.885000 delivery 34 673
uplink 4.885000 delivery 34 66
uplink 4.885000 delivery 34 608
uplink 5 3974 / 20159 = 19.7 % 14867 
downlink 5 1321 / 93730 = 1.4 % 1321 
uplink 5.012000 limbodelivery 161 66
uplink 5.012000 delivery 161 867
uplink 5.012000 delivery 160 66
uplink 5.012000 delivery 160 464
uplink 5.030000 limbodelivery 178 66
uplink 5.030000 delivery 178 883
uplink 5.030000 delivery 178 66
uplink 5.057000 limbodelivery 205 1442
uplink 5.057000 delivery 205 220
uplink 5.057000 delivery 205 66
uplink 5.066000 limbodelivery 214 604
uplink 5.066000 delivery 214 66
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.080000 delivery 65 82
downlink 5.081000 limbodelivery 52 92
uplink 5.184000 limbodelivery 332 1131
uplink 5.184000 delivery 332 66
uplink 5.184000 delivery 332 938
uplink 5.184000 delivery 332 66
uplink 5.211000 limbodelivery 359 1071
uplink 5.211000 delivery 359 66
uplink 5.211000 limbodelivery 359 1442
uplink 5.211000 delivery 359 159
uplink 5.211000 delivery 266 66
downlink 5.260000 delivery 46 82
downlink 5.260000 delivery 46 82
downlink 5.260000 delivery 46 82
downlink 5.260000 delivery 46 82
downlink 5.260000 delivery 46 82
downlink 5.260000 delivery 46 82
