Interface eth0 has index 2
Interface eth2 has index 4
Initialized 4.tr queue with 53136 services.
Initialized 5.tr queue with 61575 services.
uplink 0.182000 delivery 23 247
downlink 0.203000 delivery 27 160
uplink 0.422000 delivery 62 90
uplink 0.440000 delivery 32 60
uplink 0.482000 delivery 26 165
downlink 0.499000 delivery 59 70
uplink 0.504000 delivery 20 90
uplink 0.504000 delivery 20 70
uplink 0.512000 delivery 24 87
uplink 0.512000 delivery 20 90
downlink 0.557000 delivery 30 92
downlink 0.557000 delivery 30 92
downlink 0.557000 delivery 30 92
downlink 0.557000 delivery 30 92
uplink 0.564000 delivery 30 185
uplink 0.596000 delivery 40 341
uplink 0.596000 delivery 40 202
uplink 0.612000 delivery 26 107
downlink 0.656000 delivery 45 175
downlink 0.656000 delivery 44 175
downlink 0.656000 delivery 43 175
downlink 0.803000 delivery 25 60
uplink 0.849000 delivery 43 341
uplink 0.849000 delivery 43 202
uplink 0.849000 delivery 43 117
uplink 0 2394 / 54796 = 4.4 % 2394 
downlink 0 1183 / 50470 = 2.3 % 1275 
downlink 0.881000 delivery 28 92
uplink 1.088000 delivery 31 341
uplink 1.088000 delivery 31 202
downlink 1.211000 delivery 35 160
uplink 1.222000 delivery 42 110
uplink 1.222000 delivery 42 206
uplink 1.282000 delivery 25 323
uplink 1.282000 delivery 25 190
downlink 1.312000 delivery 36 92
downlink 1.312000 delivery 36 92
downlink 1.312000 delivery 35 92
downlink 1.312000 delivery 35 92
uplink 1.452000 delivery 20 90
uplink 1.582000 delivery 27 185
downlink 1.585000 delivery 21 60
uplink 1.622000 delivery 35 107
downlink 1.638000 delivery 36 92
uplink 1.792000 delivery 28 342
downlink 1.826000 delivery 31 342
downlink 1.826000 delivery 30 342
uplink 1.868000 delivery 20 60
uplink 1 2156 / 70658 = 3.1 % 2156 
downlink 1 1456 / 60564 = 2.4 % 1364 
downlink 1.914000 delivery 20 60
uplink 1.916000 delivery 31 165
uplink 1.944000 delivery 36 381
downlink 1.962000 delivery 67 60
downlink 1.962000 delivery 67 60
downlink 1.962000 delivery 63 60
downlink 1.968000 delivery 25 60
uplink 1.982000 delivery 45 87
downlink 1.988000 delivery 31 60
downlink 2.040000 delivery 43 60
downlink 2.040000 delivery 43 60
downlink 2.040000 delivery 43 60
downlink 2.073000 delivery 47 92
downlink 2.073000 delivery 47 92
downlink 2.073000 delivery 46 92
downlink 2.073000 delivery 46 92
downlink 2.088000 delivery 27 60
downlink 2.088000 delivery 27 60
downlink 2.088000 delivery 26 60
downlink 2.088000 delivery 23 60
downlink 2.088000 delivery 23 60
downlink 2.088000 delivery 23 60
downlink 2.088000 delivery 22 60
downlink 2.141000 delivery 35 60
downlink 2.141000 delivery 33 60
downlink 2.141000 delivery 33 60
downlink 2.141000 delivery 33 60
downlink 2.141000 delivery 23 60
downlink 2.141000 delivery 23 60
downlink 2.141000 delivery 21 60
downlink 2.154000 delivery 32 60
downlink 2.154000 delivery 32 60
downlink 2.154000 delivery 32 60
downlink 2.154000 delivery 30 60
downlink 2.154000 delivery 29 60
downlink 2.154000 delivery 29 60
uplink 2.188000 delivery 31 381
downlink 2.192000 delivery 25 60
downlink 2.192000 delivery 24 60
downlink 2.217000 delivery 44 60
downlink 2.217000 delivery 41 160
downlink 2.217000 delivery 39 60
downlink 2.217000 delivery 38 60
downlink 2.217000 delivery 38 60
downlink 2.217000 delivery 38 60
downlink 2.217000 delivery 37 60
downlink 2.217000 delivery 37 60
downlink 2.217000 delivery 37 60
downlink 2.217000 delivery 35 60
downlink 2.217000 delivery 35 60
downlink 2.217000 delivery 35 60
downlink 2.217000 delivery 34 60
downlink 2.217000 delivery 34 60
downlink 2.217000 delivery 34 60
downlink 2.217000 delivery 33 60
downlink 2.217000 delivery 33 60
downlink 2.245000 delivery 27 60
downlink 2.250000 delivery 24 60
downlink 2.250000 delivery 23 60
downlink 2.294000 delivery 57 60
downlink 2.294000 delivery 57 60
downlink 2.294000 delivery 57 60
downlink 2.294000 delivery 55 60
downlink 2.294000 delivery 53 60
downlink 2.294000 delivery 53 66
downlink 2.294000 delivery 53 60
downlink 2.294000 delivery 53 60
downlink 2.294000 delivery 53 60
downlink 2.294000 delivery 53 60
downlink 2.294000 delivery 52 60
uplink 2.302000 delivery 23 323
downlink 2.316000 delivery 34 60
downlink 2.316000 delivery 34 60
downlink 2.316000 delivery 33 60
downlink 2.316000 delivery 31 60
downlink 2.316000 delivery 28 60
downlink 2.316000 delivery 28 60
downlink 2.316000 delivery 22 60
downlink 2.389000 delivery 37 92
downlink 2.389000 delivery 29 60
uplink 2.436000 delivery 27 381
downlink 2.440000 delivery 32 60
uplink 2.643000 delivery 34 357
downlink 2.645000 delivery 31 60
uplink 2.646000 delivery 22 60
downlink 2.675000 delivery 22 92
downlink 2.738000 delivery 31 60
downlink 2.806000 delivery 27 60
uplink 2 2135 / 64890 = 3.3 % 2135 
downlink 2 5098 / 63448 = 8.0 % 5098 
downlink 2.898000 delivery 25 60
uplink 2.942000 delivery 37 165
uplink 2.962000 delivery 23 87
uplink 3.005000 delivery 40 60
downlink 3.027000 delivery 21 60
uplink 3.064000 delivery 36 65
uplink 3.064000 delivery 36 65
downlink 3.117000 delivery 52 140
downlink 3.117000 delivery 52 140
downlink 3.117000 delivery 41 60
uplink 3.212000 delivery 33 74
uplink 3.212000 delivery 33 74
downlink 3.226000 delivery 50 160
downlink 3.266000 delivery 53 312
downlink 3.266000 delivery 53 308
downlink 3.294000 delivery 22 60
downlink 3.294000 delivery 22 60
downlink 3.379000 delivery 28 60
downlink 3.379000 delivery 28 60
uplink 3.402000 delivery 34 90
downlink 3.455000 delivery 53 92
downlink 3.455000 delivery 37 60
downlink 3.504000 delivery 41 60
downlink 3.504000 delivery 31 90
downlink 3.532000 delivery 42 92
uplink 3.623000 delivery 55 90
uplink 3.623000 delivery 47 263
uplink 3.623000 delivery 35 107
downlink 3.680000 delivery 29 60
downlink 3.680000 delivery 25 60
uplink 3.682000 delivery 52 357
downlink 3.730000 delivery 37 90
uplink 3 1497 / 92288 = 1.6 % 1497 
downlink 3 2084 / 60564 = 3.4 % 2176 
downlink 3.907000 delivery 42 92
uplink 3.933000 delivery 20 76
uplink 3.933000 delivery 20 76
downlink 3.955000 delivery 22 137
downlink 3.955000 delivery 22 314
downlink 4.115000 delivery 23 60
downlink 4.135000 delivery 30 254
downlink 4.135000 delivery 30 254
downlink 4.160000 delivery 31 273
downlink 4.160000 delivery 31 273
downlink 4.186000 delivery 33 92
downlink 4.186000 delivery 27 432
downlink 4.186000 delivery 27 432
downlink 4.186000 delivery 27 439
downlink 4.213000 limbodelivery 54 439
downlink 4.213000 delivery 37 160
downlink 4.213000 delivery 35 60
downlink 4.213000 delivery 33 60
downlink 4.262000 delivery 31 60
downlink 4.262000 delivery 23 92
uplink 4.422000 delivery 123 323
downlink 4.461000 delivery 33 60
downlink 4.481000 delivery 22 60
uplink 4.502000 delivery 64 60
uplink 4.542000 delivery 46 70
downlink 4.636000 delivery 21 92
downlink 4.684000 delivery 41 60
downlink 4.684000 delivery 36 60
downlink 4.694000 delivery 26 86
downlink 4.739000 delivery 39 60
downlink 4.771000 delivery 23 60
uplink 4.796000 delivery 25 66
uplink 4.817000 limbodelivery 45 1442
uplink 4.817000 delivery 45 673
uplink 4.817000 delivery 45 66
uplink 4.817000 delivery 45 608
downlink 4.818000 delivery 37 60
downlink 4.839000 delivery 35 60
downlink 4.839000 delivery 35 60
uplink 4.864000 limbodelivery 92 66
uplink 4.864000 delivery 92 867
uplink 4.864000 delivery 92 66
uplink 4.864000 delivery 92 464
uplink 4 4923 / 41810 = 11.8 % 9467 
downlink 4 4641 / 70658 = 6.6 % 4729 
uplink 4.882000 limbodelivery 110 66
uplink 4.882000 delivery 110 883
uplink 4.882000 delivery 110 66
downlink 4.887000 delivery 39 60
downlink 4.887000 delivery 38 60
downlink 4.887000 delivery 35 60
uplink 4.902000 limbodelivery 130 1442
uplink 4.902000 delivery 130 220
uplink 4.902000 delivery 130 66
uplink 4.922000 limbodelivery 150 604
uplink 4.922000 delivery 76 66
uplink 4.942000 limbodelivery 96 1131
uplink 4.942000 delivery 33 66
uplink 4.942000 delivery 33 938
uplink 4.946000 delivery 20 259
uplink 4.960000 delivery 20 87
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
downlink 4.991000 delivery 43 82
uplink 5.002000 delivery 25 66
uplink 5.002000 delivery 25 1071
downlink 5.016000 delivery 42 82
downlink 5.016000 delivery 42 82
downlink 5.016000 delivery 42 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.016000 delivery 41 82
downlink 5.041000 limbodelivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.041000 delivery 66 82
downlink 5.066000 limbodelivery 77 92
downlink 5.094000 delivery 25 304
downlink 5.094000 delivery 25 304
downlink 5.139000 delivery 28 92
uplink 5.142000 delivery 28 66
uplink 5.162000 limbodelivery 48 1442
uplink 5.162000 delivery 48 159
downlink 5.219000 delivery 43 160
downlink 5.219000 delivery 33 60
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.247000 delivery 36 82
downlink 5.270000 limbodelivery 59 82
downlink 5.298000 delivery 32 60
downlink 5.298000 delivery 32 60
uplink 5.302000 delivery 58 66
