Interface eth0 has index 2
Interface eth2 has index 4
Initialized 4.tr queue with 53136 services.
Initialized 5.tr queue with 61575 services.
downlink 0.048000 delivery 21 160
downlink 0.127000 delivery 27 92
uplink 0.182000 delivery 38 247
uplink 0.264000 delivery 43 60
uplink 0.296000 delivery 20 87
downlink 0.304000 delivery 40 70
downlink 0.431000 delivery 27 60
uplink 0 394 / 31724 = 1.2 % 394 
downlink 0 382 / 30282 = 1.3 % 382 
downlink 0.607000 delivery 43 92
downlink 0.630000 delivery 30 60
uplink 0.796000 delivery 79 231
downlink 0.881000 delivery 32 92
uplink 0.912000 delivery 55 90
uplink 0.912000 delivery 55 70
uplink 0.912000 delivery 47 90
uplink 0.980000 delivery 79 110
uplink 0.980000 delivery 22 107
uplink 1.042000 delivery 45 90
downlink 1.060000 delivery 44 271
downlink 1.060000 delivery 44 271
downlink 1.060000 delivery 40 160
uplink 1.153000 delivery 27 341
uplink 1.153000 delivery 27 202
uplink 1.153000 delivery 27 101
uplink 1.222000 delivery 39 185
downlink 1.284000 delivery 29 92
downlink 1.337000 delivery 23 92
uplink 1.402000 delivery 40 222
uplink 1.402000 delivery 24 341
uplink 1.402000 delivery 24 202
downlink 1.412000 delivery 32 60
uplink 1 2382 / 63448 = 3.8 % 2382 
downlink 1 1190 / 57680 = 2.1 % 1190 
downlink 1.638000 delivery 39 92
uplink 1.664000 delivery 36 341
uplink 1.664000 delivery 36 202
uplink 1.664000 delivery 35 101
downlink 1.806000 delivery 34 60
uplink 1.865000 delivery 37 323
uplink 1.865000 delivery 37 190
uplink 1.982000 delivery 24 107
downlink 2.040000 delivery 42 92
downlink 2.040000 delivery 20 160
downlink 2.074000 delivery 27 60
uplink 2.302000 delivery 26 87
uplink 2.436000 delivery 36 263
uplink 2 1614 / 67774 = 2.4 % 1614 
downlink 2 464 / 60564 = 0.8 % 464 
downlink 2.627000 delivery 25 60
downlink 2.771000 delivery 23 92
downlink 2.806000 delivery 45 185
downlink 2.806000 delivery 44 185
uplink 2.907000 delivery 22 342
downlink 2.957000 delivery 48 342
downlink 2.957000 delivery 47 342
uplink 2.962000 delivery 27 259
downlink 2.999000 delivery 51 432
downlink 2.999000 delivery 51 432
downlink 2.999000 delivery 51 439
downlink 3.002000 limbodelivery 54 439
uplink 3.004000 delivery 27 60
downlink 3.072000 delivery 52 160
uplink 3.088000 delivery 42 323
uplink 3.092000 delivery 21 87
downlink 3.150000 delivery 39 92
uplink 3.284000 delivery 45 381
uplink 3.324000 delivery 28 165
downlink 3.454000 delivery 50 60
uplink 3 1617 / 90846 = 1.8 % 1617 
downlink 3 3260 / 60564 = 5.4 % 3260 
uplink 3.522000 delivery 33 381
downlink 3.595000 delivery 42 60
downlink 3.680000 delivery 30 134
downlink 3.730000 delivery 23 60
uplink 3.762000 delivery 22 381
downlink 3.882000 delivery 22 92
uplink 3.962000 delivery 21 60
uplink 3.962000 delivery 21 357
uplink 3.982000 delivery 24 107
downlink 4.041000 delivery 21 160
uplink 4.122000 delivery 51 87
uplink 4.242000 delivery 138 60
uplink 4.293000 delivery 46 60
downlink 4.296000 delivery 53 60
downlink 4.296000 delivery 44 60
uplink 4.422000 delivery 125 65
uplink 4.422000 delivery 125 65
downlink 4.461000 delivery 38 140
downlink 4.461000 delivery 38 140
uplink 4 1623 / 49028 = 3.3 % 1623 
downlink 4 906 / 69216 = 1.3 % 906 
uplink 4.542000 delivery 33 74
uplink 4.542000 delivery 33 74
uplink 4.542000 delivery 28 259
downlink 4.586000 delivery 43 256
downlink 4.586000 delivery 43 252
downlink 4.623000 delivery 20 60
downlink 4.637000 delivery 27 92
uplink 4.683000 delivery 64 263
uplink 4.712000 delivery 25 90
downlink 4.818000 delivery 37 90
downlink 4.818000 delivery 28 60
uplink 4.864000 delivery 45 66
uplink 4.882000 limbodelivery 63 1442
uplink 4.882000 delivery 63 673
uplink 4.882000 delivery 63 66
uplink 4.882000 delivery 63 608
uplink 4.902000 limbodelivery 83 66
uplink 4.902000 delivery 83 867
uplink 4.902000 delivery 83 66
uplink 4.902000 delivery 83 464
uplink 4.922000 limbodelivery 103 66
uplink 4.922000 delivery 103 883
uplink 4.922000 delivery 103 66
uplink 4.942000 limbodelivery 123 1442
uplink 4.942000 delivery 123 220
uplink 4.942000 delivery 123 66
uplink 4.946000 limbodelivery 127 604
uplink 4.946000 delivery 127 66
uplink 4.960000 limbodelivery 141 1131
uplink 4.960000 delivery 141 66
uplink 4.960000 delivery 141 938
uplink 4.960000 delivery 140 66
downlink 4.963000 delivery 40 220
downlink 4.963000 delivery 39 279
downlink 4.963000 delivery 39 252
downlink 4.963000 delivery 36 92
uplink 4.964000 limbodelivery 144 1071
uplink 4.964000 delivery 95 70
uplink 4.964000 delivery 77 90
uplink 4.964000 delivery 38 66
uplink 4.982000 limbodelivery 56 1442
uplink 4.982000 delivery 56 159
downlink 5.016000 delivery 34 92
downlink 5.016000 delivery 21 92
downlink 5.042000 delivery 37 216
downlink 5.042000 delivery 36 216
downlink 5.042000 delivery 36 216
downlink 5.042000 delivery 36 216
downlink 5.042000 delivery 22 160
uplink 5.083000 delivery 32 76
uplink 5.083000 delivery 32 76
uplink 5.083000 delivery 25 66
uplink 5.083000 delivery 25 946
downlink 5.094000 delivery 47 90
downlink 5.119000 delivery 36 137
downlink 5.119000 delivery 35 258
uplink 5.142000 delivery 23 66
uplink 5.142000 delivery 23 919
uplink 5.183000 delivery 25 319
uplink 5.183000 delivery 25 118
uplink 5.222000 delivery 33 66
uplink 5.222000 delivery 32 1071
uplink 5.303000 delivery 51 66
uplink 5.303000 delivery 51 939
uplink 5.303000 delivery 39 323
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.323000 delivery 33 82
downlink 5.422000 delivery 33 60
downlink 5.450000 delivery 38 82
downlink 5.450000 delivery 38 82
downlink 5.450000 delivery 38 82
downlink 5.450000 delivery 38 82
downlink 5.450000 delivery 38 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.450000 delivery 37 82
downlink 5.453000 limbodelivery 40 82
uplink 5 18641 / 67774 = 27.5 % 18641 
downlink 5 6276 / 66332 = 9.5 % 6276 
downlink 5.705000 delivery 55 160
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.710000 delivery 20 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.728000 delivery 32 82
downlink 5.753000 limbodelivery 56 82
downlink 5.753000 delivery 55 252
downlink 5.753000 delivery 54 252
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 22 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 5.979000 delivery 21 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
downlink 6.067000 delivery 53 82
uplink 6.102000 delivery 30 87
downlink 6.108000 limbodelivery 94 82
downlink 6.108000 delivery 88 160
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.108000 delivery 34 82
downlink 6.122000 limbodelivery 48 82
downlink 6.122000 delivery 48 82
downlink 6.122000 delivery 48 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 37 82
downlink 6.122000 delivery 36 82
downlink 6.122000 delivery 36 82
downlink 6.122000 delivery 36 82
downlink 6.122000 delivery 36 82
downlink 6.122000 delivery 36 82
downlink 6.155000 limbodelivery 69 82
downlink 6.155000 delivery 69 82
downlink 6.155000 delivery 69 82
downlink 6.155000 delivery 32 92
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
downlink 6.299000 delivery 47 82
