Interface eth0 has index 2
Interface eth2 has index 4
Initialized 1.tr queue with 14733 services.
Initialized 2.tr queue with 32553 services.
uplink 0 0 / 1442 = 0.0 % 0 
downlink 0 0 / 1442 = 0.0 % 0 
uplink 0.217000 delivery 35 265
downlink 0.223000 delivery 26 60
uplink 0.384000 delivery 89 60
uplink 0.440000 delivery 57 247
downlink 0.601000 delivery 105 92
downlink 0.601000 delivery 104 160
uplink 1 572 / 10094 = 5.7 % 2086 
downlink 1 312 / 4326 = 7.2 % 372 
downlink 1.241000 delivery 556 60
downlink 1.241000 delivery 21 60
downlink 1.601000 delivery 355 92
downlink 1.601000 delivery 103 160
downlink 1.938000 delivery 271 60
uplink 2 0 / 0 = -nan % 2414 
downlink 2 432 / 5768 = 7.5 % 432 
downlink 2.309000 delivery 298 60
downlink 2.309000 delivery 182 432
downlink 2.309000 delivery 182 432
downlink 2.309000 delivery 181 439
uplink 2.385000 delivery 1799 60
uplink 2.385000 delivery 1755 87
uplink 2.385000 delivery 1634 90
uplink 2.385000 delivery 1634 70
uplink 2.385000 delivery 1626 90
uplink 2.385000 delivery 1591 165
uplink 2.385000 delivery 1533 107
uplink 2.385000 delivery 1483 341
uplink 2.385000 delivery 1482 202
uplink 2.385000 delivery 1482 117
downlink 2.440000 limbodelivery 312 439
downlink 2.440000 delivery 242 60
downlink 2.440000 delivery 54 70
uplink 2.496000 limbodelivery 1583 185
uplink 2.496000 delivery 1343 341
uplink 2.496000 delivery 1343 202
uplink 2.496000 delivery 1205 110
uplink 2.496000 delivery 1092 341
uplink 2.496000 delivery 1092 202
uplink 2.496000 delivery 1092 117
uplink 2.508000 limbodelivery 1024 206
uplink 2.508000 delivery 904 323
uplink 2.508000 delivery 904 190
uplink 2.508000 delivery 806 90
uplink 2.508000 delivery 656 107
uplink 2.508000 delivery 493 185
uplink 2.508000 delivery 299 342
uplink 2.718000 delivery 87 87
downlink 2.766000 delivery 271 60
downlink 2.766000 delivery 269 160
downlink 2.766000 delivery 247 342
downlink 2.766000 delivery 247 342
downlink 2.766000 delivery 158 197
downlink 2.766000 delivery 157 197
downlink 2.766000 delivery 32 60
uplink 2.774000 delivery 68 323
uplink 2.774000 delivery 68 190
uplink 2.835000 delivery 53 60
uplink 2.903000 delivery 26 87
uplink 2.953000 delivery 24 381
uplink 2.997000 delivery 57 165
downlink 3.000000 delivery 241 92
downlink 3.000000 delivery 88 60
uplink 3 5563 / 47586 = 11.7 % 1635 
downlink 3 3442 / 5768 = 59.7 % 3382 
uplink 3.253000 delivery 74 381
downlink 3.426000 delivery 210 60
downlink 3.669000 delivery 171 160
downlink 3.669000 delivery 161 92
downlink 3.852000 delivery 53 92
uplink 3.998000 delivery 743 60
uplink 3.998000 delivery 568 381
uplink 3.998000 delivery 367 357
uplink 3.998000 delivery 145 107
uplink 3.998000 delivery 120 87
uplink 3.998000 delivery 86 60
uplink 4 1433 / 5768 = 24.8 % 1433 
downlink 4 404 / 8652 = 4.7 % 735 
downlink 4.085000 delivery 86 60
downlink 4.085000 delivery 58 271
downlink 4.085000 delivery 57 271
downlink 4.399000 delivery 200 60
downlink 4.399000 delivery 141 92
uplink 4.498000 delivery 456 165
uplink 4.498000 delivery 412 65
uplink 4.498000 delivery 412 65
uplink 4.498000 delivery 382 263
downlink 4.599000 delivery 101 160
downlink 4.599000 delivery 101 140
downlink 4.599000 delivery 100 140
downlink 4.599000 delivery 50 92
uplink 4.898000 delivery 282 60
uplink 4.898000 delivery 212 74
uplink 4.898000 delivery 212 74
uplink 4.898000 delivery 167 357
uplink 4.898000 delivery 140 70
uplink 4.898000 delivery 92 323
uplink 4.898000 delivery 41 76
uplink 4.898000 delivery 41 76
uplink 5 1668 / 5768 = 28.9 % 1668 
downlink 5.028000 delivery 131 60
downlink 5.028000 delivery 129 256
downlink 5.028000 delivery 129 137
downlink 5.028000 delivery 129 258
downlink 5.028000 delivery 129 252
downlink 5 2249 / 11536 = 19.5 % 1918 
uplink 5.165000 delivery 36 90
downlink 5.205000 delivery 32 60
uplink 5.282000 delivery 76 66
uplink 5.293000 limbodelivery 87 1442
uplink 5.293000 delivery 87 673
uplink 5.293000 delivery 87 66
uplink 5.293000 delivery 87 608
downlink 5.316000 delivery 80 90
downlink 5.422000 delivery 123 92
uplink 5.460000 limbodelivery 254 66
uplink 5.460000 delivery 254 867
uplink 5.460000 delivery 254 66
uplink 5.460000 delivery 254 464
downlink 5.543000 delivery 45 160
uplink 5.666000 limbodelivery 460 66
uplink 5.666000 delivery 460 883
uplink 5.666000 delivery 460 66
uplink 5.722000 limbodelivery 516 1442
uplink 5.722000 delivery 516 220
uplink 5.722000 delivery 515 66
uplink 5.778000 limbodelivery 571 604
uplink 5.778000 delivery 571 66
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.799000 delivery 72 82
downlink 5.856000 limbodelivery 89 92
uplink 5.889000 limbodelivery 682 1131
uplink 5.889000 delivery 682 66
