Interface eth0 has index 2
Interface eth2 has index 4
Initialized 1.tr queue with 14733 services.
Initialized 2.tr queue with 32553 services.
uplink 0.161000 delivery 28 265
uplink 0.217000 delivery 29 78
downlink 0.223000 delivery 59 60
downlink 0.223000 delivery 43 92
downlink 0.223000 delivery 39 160
downlink 0.252000 delivery 21 92
uplink 0.384000 delivery 168 90
uplink 0.384000 delivery 88 60
uplink 0.440000 delivery 57 265
uplink 0 758 / 11536 = 6.6 % 1005 
downlink 0 404 / 4326 = 9.3 % 1064 
downlink 0.601000 delivery 368 92
downlink 0.601000 delivery 336 254
downlink 0.601000 delivery 336 254
downlink 0.601000 delivery 71 60
downlink 1.241000 delivery 423 60
downlink 1.241000 delivery 286 92
downlink 1.241000 delivery 261 92
downlink 1.241000 delivery 57 160
uplink 1 0 / 0 = -nan % 2057 
downlink 1 1064 / 2884 = 36.9 % 872 
downlink 1.601000 delivery 236 174
downlink 1.601000 delivery 236 174
downlink 1.601000 delivery 169 60
downlink 1.684000 delivery 91 60
downlink 1.938000 delivery 233 92
downlink 1.938000 delivery 208 92
downlink 1.938000 delivery 193 92
downlink 2.310000 delivery 376 60
downlink 2.310000 delivery 226 60
downlink 2.310000 delivery 126 160
uplink 2.385000 delivery 1802 247
uplink 2.385000 delivery 1540 60
uplink 2.385000 delivery 1503 165
uplink 2.385000 delivery 1472 87
uplink 2.385000 delivery 1197 90
uplink 2.385000 delivery 1197 70
uplink 2.385000 delivery 1189 90
uplink 2.385000 delivery 1146 185
uplink 2.385000 delivery 1124 341
downlink 2.440000 delivery 54 70
downlink 2.440000 delivery 35 60
uplink 2.497000 limbodelivery 1236 202
uplink 2.497000 delivery 1236 117
uplink 2.497000 delivery 1208 107
uplink 2.497000 delivery 987 341
uplink 2.497000 delivery 987 202
uplink 2.497000 delivery 892 206
uplink 2.497000 delivery 735 341
uplink 2.507000 limbodelivery 745 202
uplink 2.507000 delivery 745 117
uplink 2.507000 delivery 723 110
uplink 2.507000 delivery 545 323
uplink 2.507000 delivery 545 190
uplink 2.507000 delivery 507 90
uplink 2.507000 delivery 247 185
uplink 2.507000 delivery 218 107
uplink 2 4175 / 4326 = 96.5 % 1871 
downlink 2 1154 / 7210 = 16.0 % 930 
uplink 2.607000 delivery 31 342
downlink 2.766000 delivery 311 92
downlink 2.766000 delivery 272 92
downlink 2.766000 delivery 233 60
downlink 2.766000 delivery 156 342
downlink 2.766000 delivery 156 342
uplink 2.835000 delivery 55 60
uplink 2.868000 delivery 45 165
uplink 2.868000 delivery 23 381
uplink 2.904000 delivery 30 87
uplink 3.053000 delivery 69 323
uplink 3.253000 delivery 157 381
downlink 3.426000 delivery 242 160
downlink 3.426000 delivery 204 92
downlink 3.426000 delivery 181 92
uplink 3 1739 / 47586 = 3.7 % 2477 
downlink 3 1272 / 5768 = 22.1 % 1028 
uplink 3.998000 delivery 651 381
uplink 3.998000 delivery 452 357
uplink 3.998000 delivery 394 60
uplink 3.998000 delivery 153 165
uplink 3.998000 delivery 123 87
uplink 3.998000 delivery 105 60
downlink 4.085000 delivery 113 92
downlink 4.085000 delivery 83 60
downlink 4.399000 delivery 215 160
downlink 4.399000 delivery 112 60
uplink 4.498000 delivery 412 65
uplink 4.498000 delivery 412 65
uplink 4.498000 delivery 216 263
uplink 4.498000 delivery 209 107
uplink 4 1610 / 2884 = 55.8 % 1229 
downlink 4 372 / 11536 = 3.2 % 772 
downlink 4.599000 delivery 166 60
downlink 4.599000 delivery 100 140
downlink 4.599000 delivery 100 140
downlink 4.599000 delivery 65 60
uplink 4.620000 delivery 51 357
downlink 4.771000 delivery 49 92
uplink 4.898000 delivery 187 74
uplink 4.898000 delivery 187 74
uplink 4.898000 delivery 61 76
uplink 4.898000 delivery 61 76
uplink 4.898000 delivery 24 60
downlink 5.029000 delivery 272 92
downlink 5.029000 delivery 130 256
downlink 5.029000 delivery 130 252
downlink 5.029000 delivery 130 258
downlink 5.029000 delivery 130 137
downlink 5.029000 delivery 74 60
uplink 5.165000 delivery 160 323
uplink 5.165000 delivery 135 66
downlink 5.205000 delivery 21 160
uplink 5.221000 limbodelivery 191 1442
uplink 5.221000 delivery 191 673
uplink 5.221000 delivery 191 66
uplink 5.282000 limbodelivery 252 608
uplink 5.282000 delivery 252 66
uplink 5.282000 delivery 252 867
uplink 5.282000 delivery 252 66
uplink 5.294000 limbodelivery 264 464
uplink 5.294000 delivery 264 66
uplink 5.294000 delivery 264 883
uplink 5.294000 delivery 212 66
downlink 5.316000 delivery 109 60
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.316000 delivery 64 82
downlink 5.422000 limbodelivery 170 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
downlink 5.422000 delivery 150 82
