Interface eth0 has index 2
Interface eth2 has index 4
Initialized ./cleaned_traces/verizon3g-uplink.tr queue with 74768 services.
Initialized ./cleaned_traces/verizon3g-downlink.tr queue with 46065 services.
downlink 0.160000 delivery 27 92
uplink 0.221000 delivery 57 92
uplink 0 92 / 5768 = 1.6 % 92 
downlink 0 92 / 10094 = 0.9 % 184 
downlink 0.239000 delivery 64 92
downlink 0.368000 delivery 147 104
uplink 0.420000 delivery 50 78
uplink 0.420000 delivery 50 78
downlink 0.429000 delivery 55 160
downlink 0.429000 delivery 48 60
downlink 0.502000 delivery 82 74
downlink 0.502000 delivery 82 74
uplink 0.687000 delivery 183 66
uplink 0.687000 delivery 183 66
uplink 0.687000 delivery 183 60
uplink 0.687000 delivery 183 78
downlink 0.722000 delivery 35 74
downlink 0.722000 delivery 34 66
downlink 0.722000 delivery 28 66
uplink 0.767000 delivery 43 66
uplink 0.767000 delivery 43 117
uplink 0.767000 delivery 43 66
uplink 0.767000 delivery 43 66
downlink 0.791000 delivery 24 66
downlink 0.822000 delivery 48 229
uplink 0.847000 delivery 24 66
uplink 0.887000 delivery 25 258
downlink 0.933000 delivery 44 360
uplink 0.967000 delivery 32 66
uplink 0.967000 delivery 32 109
downlink 0.972000 delivery 22 92
downlink 1.040000 delivery 73 105
uplink 1.062000 delivery 21 66
uplink 1.062000 delivery 21 66
uplink 1.074000 delivery 30 92
downlink 1.088000 delivery 22 66
uplink 1.109000 delivery 20 66
downlink 1.128000 delivery 52 60
downlink 1.128000 delivery 31 60
uplink 1.154000 delivery 24 60
downlink 1.176000 delivery 20 104
uplink 1.201000 delivery 23 78
uplink 1.201000 delivery 23 78
uplink 1 1746 / 77868 = 2.2 % 1746 
downlink 1 1912 / 46144 = 4.1 % 1880 
downlink 1.220000 delivery 30 60
downlink 1.244000 delivery 42 74
downlink 1.244000 delivery 42 74
uplink 1.267000 delivery 21 66
uplink 1.267000 delivery 21 66
uplink 1.267000 delivery 21 60
uplink 1.267000 delivery 21 78
downlink 1.295000 delivery 26 66
downlink 1.295000 delivery 26 60
downlink 1.295000 delivery 26 74
uplink 1.323000 delivery 27 66
uplink 1.323000 delivery 26 66
uplink 1.323000 delivery 26 117
downlink 1.348000 delivery 23 60
downlink 1.348000 delivery 22 275
uplink 1.374000 delivery 25 66
uplink 1.374000 delivery 21 258
downlink 1.395000 delivery 21 160
downlink 1.416000 delivery 39 570
uplink 1.441000 delivery 24 66
uplink 1.441000 delivery 23 109
downlink 1.465000 delivery 22 109
uplink 1.488000 delivery 22 66
uplink 1.488000 delivery 22 66
uplink 1.488000 delivery 20 92
downlink 1.511000 delivery 22 66
downlink 1.511000 delivery 22 60
downlink 1.511000 delivery 22 60
uplink 1.534000 delivery 21 60
uplink 1.534000 delivery 21 66
downlink 1.568000 delivery 34 60
downlink 1.568000 delivery 33 104
downlink 1.591000 delivery 29 304
downlink 1.591000 delivery 29 304
uplink 1.608000 delivery 36 78
uplink 1.608000 delivery 36 78
downlink 1.643000 delivery 35 60
downlink 1.643000 delivery 35 74
downlink 1.643000 delivery 35 74
uplink 1.667000 delivery 22 66
uplink 1.667000 delivery 22 66
uplink 1.667000 delivery 22 78
downlink 1.671000 delivery 25 92
downlink 1.690000 delivery 22 66
downlink 1.690000 delivery 22 60
downlink 1.690000 delivery 22 74
uplink 1.713000 delivery 22 66
uplink 1.713000 delivery 21 66
uplink 1.713000 delivery 21 117
downlink 1.722000 delivery 22 92
downlink 1.754000 delivery 40 60
downlink 1.754000 delivery 39 275
downlink 1.754000 delivery 25 60
uplink 1.781000 delivery 25 66
uplink 1.781000 delivery 22 258
downlink 1.802000 delivery 20 500
downlink 1.815000 delivery 28 60
uplink 1.835000 delivery 32 66
uplink 1.835000 delivery 31 109
downlink 1.844000 delivery 39 92
downlink 1.876000 delivery 40 109
uplink 1.902000 delivery 24 66
uplink 1.902000 delivery 24 66
uplink 1.902000 delivery 24 216
uplink 1.902000 delivery 24 216
uplink 1.902000 delivery 24 216
downlink 1.942000 delivery 40 226
downlink 1.942000 delivery 40 66
downlink 1.942000 delivery 40 60
downlink 1.942000 delivery 39 230
downlink 1.942000 delivery 39 231
uplink 1.963000 delivery 20 66
uplink 1.969000 delivery 25 92
uplink 1.969000 delivery 25 92
uplink 1.969000 delivery 25 92
downlink 1.990000 delivery 27 60
downlink 1.990000 delivery 21 271
downlink 1.990000 delivery 21 60
downlink 1.990000 delivery 20 253
downlink 1.990000 delivery 20 253
uplink 2 3604 / 180250 = 2.0 % 3604 
downlink 2 5998 / 64890 = 9.2 % 5938 
downlink 2.409000 delivery 34 160
downlink 2.473000 delivery 78 92
downlink 2.473000 delivery 23 92
downlink 2.558000 delivery 38 186
downlink 2.558000 delivery 37 186
