Interface eth0 has index 2
Interface eth2 has index 4
Initialized ./cleaned_traces/tmobile-uplink.tr queue with 73197 services.
Initialized ./cleaned_traces/tmobile-downlink.tr queue with 156262 services.
uplink 0.141000 delivery 25 247
uplink 0.173000 delivery 28 90
uplink 0.371000 delivery 26 60
uplink 0.452000 delivery 28 87
uplink 0.461000 delivery 21 165
uplink 0.691000 delivery 25 90
uplink 0.691000 delivery 25 70
uplink 0.702000 delivery 29 90
uplink 0.771000 delivery 28 185
uplink 0.781000 delivery 24 341
uplink 0.781000 delivery 24 202
uplink 0.781000 delivery 23 117
uplink 0.831000 delivery 65 107
uplink 0 1851 / 134106 = 1.4 % 1851 
downlink 0 1160 / 294168 = 0.4 % 1160 
uplink 1.031000 delivery 23 341
uplink 1.031000 delivery 23 202
uplink 1.062000 delivery 21 90
uplink 1.181000 delivery 25 206
uplink 1.283000 delivery 24 341
uplink 1.283000 delivery 24 202
uplink 1.283000 delivery 24 117
uplink 1.483000 delivery 23 323
uplink 1.483000 delivery 23 190
uplink 1.681000 delivery 20 110
uplink 1.721000 delivery 22 342
uplink 1.792000 delivery 24 107
uplink 1.792000 delivery 23 60
uplink 1.811000 delivery 28 185
uplink 1.864000 delivery 26 165
uplink 1.881000 delivery 28 381
uplink 1.891000 delivery 28 87
uplink 1 3449 / 164388 = 2.1 % 3449 
downlink 1 1342 / 331660 = 0.4 % 1342 
uplink 2.132000 delivery 29 381
uplink 2.381000 delivery 28 381
uplink 2.521000 delivery 21 323
uplink 2.581000 delivery 27 357
uplink 2 1442 / 118244 = 1.2 % 1902 
downlink 2 404 / 246582 = 0.2 % 404 
uplink 3.091000 delivery 438 60
uplink 3.091000 delivery 224 87
uplink 3.091000 delivery 212 165
uplink 3.091000 delivery 177 74
uplink 3.091000 delivery 177 74
uplink 3.252000 delivery 30 90
uplink 3.451000 delivery 28 90
uplink 3.622000 delivery 28 357
uplink 3.791000 delivery 23 107
uplink 3.852000 delivery 29 263
uplink 3 1367 / 158620 = 0.9 % 907 
downlink 3 1424 / 164388 = 0.9 % 1424 
uplink 4.351000 delivery 27 76
uplink 4.351000 delivery 27 76
uplink 4.351000 delivery 27 76
uplink 4.351000 delivery 27 76
uplink 4.402000 delivery 29 60
uplink 4.402000 delivery 27 76
uplink 4.462000 delivery 29 76
uplink 4.491000 delivery 21 66
uplink 4.501000 limbodelivery 30 1442
uplink 4.501000 delivery 30 673
uplink 4.501000 delivery 30 66
uplink 4.501000 delivery 30 608
uplink 4.512000 limbodelivery 41 66
uplink 4.512000 delivery 41 867
uplink 4.512000 delivery 40 66
uplink 4.512000 delivery 40 464
uplink 4.521000 limbodelivery 36 76
uplink 4.531000 delivery 24 66
uplink 4.531000 delivery 24 883
uplink 4.561000 delivery 21 323
uplink 4.611000 delivery 28 66
uplink 4.621000 limbodelivery 38 1442
uplink 4.621000 delivery 38 220
uplink 4.671000 delivery 28 66
uplink 4.671000 delivery 28 604
uplink 4.702000 delivery 29 70
uplink 4.801000 delivery 24 66
uplink 4.801000 delivery 24 1131
uplink 4.871000 delivery 25 66
uplink 4.871000 delivery 25 938
uplink 4.891000 delivery 23 87
uplink 4 10938 / 171598 = 6.4 % 12334 
downlink 4 73872 / 224890 = 32.8 % 118562 
uplink 4.932000 delivery 24 66
uplink 4.932000 delivery 24 1071
uplink 4.941000 delivery 23 259
uplink 5.072000 delivery 21 66
uplink 5.081000 limbodelivery 30 1442
uplink 5.081000 delivery 30 159
uplink 5.202000 delivery 20 66
uplink 5.202000 delivery 20 946
uplink 5.252000 delivery 30 90
uplink 5.271000 delivery 28 66
uplink 5.271000 delivery 27 919
uplink 5.332000 delivery 20 66
uplink 5.332000 delivery 20 1071
uplink 5.401000 delivery 25 66
uplink 5.401000 delivery 25 939
uplink 5.451000 delivery 29 90
uplink 5.461000 delivery 26 76
uplink 5.461000 delivery 26 76
uplink 5.471000 delivery 28 66
uplink 5.482000 limbodelivery 39 1442
uplink 5.482000 delivery 39 423
uplink 5.502000 delivery 28 66
uplink 5.511000 limbodelivery 37 1442
uplink 5.511000 delivery 37 793
uplink 5.541000 delivery 28 66
uplink 5.551000 limbodelivery 38 1442
uplink 5.561000 limbodelivery 48 1442
uplink 5.571000 limbodelivery 58 1442
uplink 5.571000 delivery 58 109
uplink 5.571000 delivery 29 66
uplink 5.571000 limbodelivery 29 1442
uplink 5.581000 limbodelivery 39 1442
uplink 5.592000 limbodelivery 50 1442
uplink 5.601000 limbodelivery 59 1260
uplink 5.601000 delivery 25 66
uplink 5.612000 limbodelivery 36 1442
uplink 5.621000 limbodelivery 45 1442
uplink 5.621000 limbodelivery 45 1442
uplink 5.633000 limbodelivery 57 1442
uplink 5.642000 limbodelivery 66 1442
uplink 5.642000 delivery 66 728
uplink 5.642000 delivery 27 66
uplink 5.651000 limbodelivery 36 1442
uplink 5.662000 limbodelivery 47 1442
uplink 5.672000 limbodelivery 57 1442
uplink 5.672000 limbodelivery 56 1002
uplink 5.672000 delivery 39 357
uplink 5.672000 delivery 29 66
uplink 5.682000 limbodelivery 39 1442
uplink 5.691000 limbodelivery 48 1442
uplink 5.701000 limbodelivery 58 1442
uplink 5.711000 limbodelivery 67 1442
uplink 5.722000 limbodelivery 78 1044
uplink 5.722000 delivery 47 66
uplink 5.722000 limbodelivery 47 1442
uplink 5.731000 limbodelivery 56 1442
uplink 5.742000 limbodelivery 67 1442
uplink 5.751000 limbodelivery 76 1442
uplink 5.751000 delivery 76 556
uplink 5.751000 delivery 41 66
uplink 5.761000 limbodelivery 51 1442
uplink 5.771000 limbodelivery 61 1442
uplink 5.772000 limbodelivery 62 1442
uplink 5.781000 limbodelivery 71 1442
uplink 5.791000 limbodelivery 81 1442
uplink 5.801000 limbodelivery 91 825
